Entity,Code,Year,Per capita CO2 emissions
Brazil,BRA,1950,0.364226
Canada,CAN,1950,11.223604
China,CHN,1950,0.141738
France,FRA,1950,4.83886
Germany,DEU,1950,7.299
India,IND,1950,0.16263
Italy,ITA,1950,0.889088
Japan,JPN,1950,1.238388
Russia,RUS,1950,4.043561
South Korea,KOR,1950,0.113668
United Kingdom,GBR,1950,9.893949
United States,USA,1950,15.969974
Brazil,BRA,1951,0.389515
Canada,CAN,1951,11.555478
China,CHN,1951,0.178305
France,FRA,1951,5.446358
Germany,DEU,1951,8.205769
India,IND,1951,0.167701
Italy,ITA,1951,1.03855
Japan,JPN,1951,1.464226
Russia,RUS,1951,4.318977
South Korea,KOR,1951,0.150303
United Kingdom,GBR,1951,10.775321
United States,USA,1951,16.240983
Brazil,BRA,1952,0.435275
Canada,CAN,1952,11.035566
China,CHN,1952,0.219691
France,FRA,1952,5.368844
Germany,DEU,1952,8.651665
India,IND,1952,0.173703
Italy,ITA,1952,1.068148
Japan,JPN,1952,1.522385
Russia,RUS,1952,4.552394
South Korea,KOR,1952,0.174706
United Kingdom,GBR,1952,10.438217
United States,USA,1952,15.590385
Brazil,BRA,1953,0.427438
Canada,CAN,1953,10.826301
China,CHN,1953,0.225466
France,FRA,1953,5.034316
Germany,DEU,1953,8.790244
India,IND,1953,0.173979
Italy,ITA,1953,1.172981
Japan,JPN,1953,1.678022
Russia,RUS,1953,4.737456
South Korea,KOR,1953,0.231282
United Kingdom,GBR,1953,10.644337
United States,USA,1953,15.707656
Brazil,BRA,1954,0.488496
Canada,CAN,1954,10.689909
China,CHN,1954,0.266774
France,FRA,1954,5.265962
Germany,DEU,1954,9.261605
India,IND,1954,0.180158
Italy,ITA,1954,1.351446
Japan,JPN,1954,1.620055
Russia,RUS,1954,5.088462
South Korea,KOR,1954,0.247252
United Kingdom,GBR,1954,10.866552
United States,USA,1954,14.71705
Brazil,BRA,1955,0.544083
Canada,CAN,1955,10.812376
China,CHN,1955,0.311186
France,FRA,1955,5.510837
Germany,DEU,1955,10.113625
India,IND,1955,0.192514
Italy,ITA,1955,1.515769
Japan,JPN,1955,1.593779
Russia,RUS,1955,5.675606
South Korea,KOR,1955,0.299546
United Kingdom,GBR,1955,11.298599
United States,USA,1955,15.848927
Brazil,BRA,1956,0.568843
Canada,CAN,1956,11.777997
China,CHN,1956,0.347339
France,FRA,1956,6.135051
Germany,DEU,1956,10.663607
India,IND,1956,0.195905
Italy,ITA,1956,1.717629
Japan,JPN,1956,1.784762
Russia,RUS,1956,6.123846
South Korea,KOR,1956,0.339901
United Kingdom,GBR,1956,11.202816
United States,USA,1956,16.326863
Brazil,BRA,1957,0.543243
Canada,CAN,1957,11.038671
China,CHN,1957,0.405571
France,FRA,1957,6.283021
Germany,DEU,1957,10.776882
India,IND,1957,0.215798
Italy,ITA,1957,1.782485
Japan,JPN,1957,2.067713
Russia,RUS,1957,6.598648
South Korea,KOR,1957,0.357392
United Kingdom,GBR,1957,11.082689
United States,USA,1957,15.911646
Brazil,BRA,1958,0.573142
Canada,CAN,1958,10.711861
China,CHN,1958,0.819336
France,FRA,1958,5.967154
Germany,DEU,1958,10.425913
India,IND,1958,0.221419
Italy,ITA,1958,1.783718
Japan,JPN,1958,1.971755
Russia,RUS,1958,6.939951
South Korea,KOR,1958,0.379054
United Kingdom,GBR,1958,10.749026
United States,USA,1958,15.15785
Brazil,BRA,1959,0.556409
Canada,CAN,1959,10.580486
China,CHN,1959,1.107563
France,FRA,1959,5.810835
Germany,DEU,1959,10.359737
India,IND,1959,0.229962
Italy,ITA,1959,1.905009
Japan,JPN,1959,2.076049
Russia,RUS,1959,7.194141
South Korea,KOR,1959,0.457027
United Kingdom,GBR,1959,10.502366
United States,USA,1959,15.360281
Brazil,BRA,1960,0.649106
Canada,CAN,1960,10.798239
China,CHN,1960,1.179543
France,FRA,1960,5.941384
Germany,DEU,1960,11.087125
India,IND,1960,0.247456
Italy,ITA,1960,2.197245
Japan,JPN,1960,2.482008
Russia,RUS,1960,7.390059
South Korea,KOR,1960,0.49507
United Kingdom,GBR,1960,11.151592
United States,USA,1960,15.465966
Brazil,BRA,1961,0.661336
Canada,CAN,1961,10.639503
China,CHN,1961,0.821158
France,FRA,1961,6.081512
Germany,DEU,1961,11.292604
India,IND,1961,0.262341
Italy,ITA,1961,2.484914
Japan,JPN,1961,2.990524
Russia,RUS,1961,7.524673
South Korea,KOR,1961,0.55393
United Kingdom,GBR,1961,11.16323
United States,USA,1961,15.178403
Brazil,BRA,1962,0.700936
Canada,CAN,1962,11.130331
China,CHN,1962,0.644099
France,FRA,1962,6.37147
Germany,DEU,1962,11.856363
India,IND,1962,0.283058
Italy,ITA,1962,2.899468
Japan,JPN,1962,3.06796
Russia,RUS,1962,7.80378
South Korea,KOR,1962,0.643801
United Kingdom,GBR,1962,11.164426
United States,USA,1962,15.5163
Brazil,BRA,1963,0.705203
Canada,CAN,1963,11.133969
China,CHN,1963,0.627241
France,FRA,1963,7.027321
Germany,DEU,1963,12.593039
India,IND,1963,0.297921
Italy,ITA,1963,3.235729
Japan,JPN,1963,3.370047
Russia,RUS,1963,8.278065
South Korea,KOR,1963,0.766159
United Kingdom,GBR,1963,11.278026
United States,USA,1963,15.985176
Brazil,BRA,1964,0.699028
Canada,CAN,1964,12.319941
China,CHN,1964,0.615179
France,FRA,1964,7.17122
Germany,DEU,1964,12.803328
India,IND,1964,0.285749
Italy,ITA,1964,3.427166
Japan,JPN,1964,3.685508
Russia,RUS,1964,8.718095
South Korea,KOR,1964,0.786783
United Kingdom,GBR,1964,11.28122
United States,USA,1964,16.477322
Brazil,BRA,1965,0.675626
Canada,CAN,1965,12.834573
China,CHN,1965,0.655438
France,FRA,1965,7.223247
Germany,DEU,1965,12.590184
India,IND,1965,0.308384
Italy,ITA,1965,3.667558
Japan,JPN,1965,3.925678
Russia,RUS,1965,9.169555
South Korea,KOR,1965,0.864421
United Kingdom,GBR,1965,11.469398
United States,USA,1965,16.963525
Brazil,BRA,1966,0.749287
Canada,CAN,1966,12.969282
China,CHN,1966,0.702382
France,FRA,1966,7.060402
Germany,DEU,1966,12.385082
India,IND,1966,0.313155
Italy,ITA,1966,4.110064
Japan,JPN,1966,4.209457
Russia,RUS,1966,9.613915
South Korea,KOR,1966,1.013838
United Kingdom,GBR,1966,11.32648
United States,USA,1966,17.628775
Brazil,BRA,1967,0.750595
Canada,CAN,1967,13.856681
China,CHN,1967,0.56679
France,FRA,1967,7.501869
Germany,DEU,1967,12.102711
India,IND,1967,0.307033
Italy,ITA,1967,4.465313
Japan,JPN,1967,4.853181
Russia,RUS,1967,9.992403
South Korea,KOR,1967,1.161267
United Kingdom,GBR,1967,10.790767
United States,USA,1967,18.112838
Brazil,BRA,1968,0.854895
Canada,CAN,1968,14.668021
China,CHN,1968,0.596634
France,FRA,1968,7.698172
Germany,DEU,1968,12.650337
India,IND,1968,0.327936
Italy,ITA,1968,4.719617
Japan,JPN,1968,5.502258
Russia,RUS,1968,10.219567
South Korea,KOR,1968,1.204103
United Kingdom,GBR,1968,11.000459
United States,USA,1968,18.601528
Brazil,BRA,1969,0.907121
