Entity,Code,Year,Annual CO2 emissions
Brazil,BRA,1950,19.659072
Brazil,BRA,1951,21.659348
Brazil,BRA,1952,24.934311
Brazil,BRA,1953,25.21844
Brazil,BRA,1954,29.675626
Brazil,BRA,1955,34.023694
Brazil,BRA,1956,36.608456
Brazil,BRA,1957,35.974079
Brazil,BRA,1958,39.053928
Brazil,BRA,1959,39.01708
Brazil,BRA,1960,46.851821
Brazil,BRA,1961,49.144503
Brazil,BRA,1962,53.631449
Brazil,BRA,1963,55.550938
Brazil,BRA,1964,56.666677
Brazil,BRA,1965,56.329616
Brazil,BRA,1966,64.211635
Brazil,BRA,1967,66.079408
Brazil,BRA,1968,77.271377
Brazil,BRA,1969,84.132709
Brazil,BRA,1970,93.530488
Brazil,BRA,1971,102.357941
Brazil,BRA,1972,114.014328
Brazil,BRA,1973,132.01961
Brazil,BRA,1974,142.927314
Brazil,BRA,1975,150.513658
Brazil,BRA,1976,154.398075
Brazil,BRA,1977,162.078339
Brazil,BRA,1978,175.931496
Brazil,BRA,1979,187.155078
Brazil,BRA,1980,185.758354
Brazil,BRA,1981,170.46791
Brazil,BRA,1982,170.789345
Brazil,BRA,1983,165.426937
Brazil,BRA,1984,167.605589
Brazil,BRA,1985,179.93678
Brazil,BRA,1986,197.226217
Brazil,BRA,1987,205.788742
Brazil,BRA,1988,207.562968
Brazil,BRA,1989,212.113644
Brazil,BRA,1990,206.92112
Brazil,BRA,1991,217.227661
Brazil,BRA,1992,218.383343
Brazil,BRA,1993,228.333216
Brazil,BRA,1994,239.470565
Brazil,BRA,1995,255.583536
Brazil,BRA,1996,281.194784
Brazil,BRA,1997,296.585442
Brazil,BRA,1998,308.305534
Brazil,BRA,1999,316.28244
Brazil,BRA,2000,324.22604
Brazil,BRA,2001,332.9874
Brazil,BRA,2002,327.434832
Brazil,BRA,2003,317.508303
Brazil,BRA,2004,333.675144
Brazil,BRA,2005,342.086472
Brazil,BRA,2006,341.946368
Brazil,BRA,2007,356.918752
Brazil,BRA,2008,380.344748
Brazil,BRA,2009,360.090776
Brazil,BRA,2010,411.240192
Brazil,BRA,2011,429.959368
Brazil,BRA,2012,460.098
Brazil,BRA,2013,495.046768
Brazil,BRA,2014,523.89403
Brazil,BRA,2015,495.213709
Brazil,BRA,2016,478.442801
Brazil,BRA,2017,484.588129
Brazil,BRA,2018,466.649304
Brazil,BRA,2019,465.71577
Canada,CAN,1950,154.133752
Canada,CAN,1951,162.678023
Canada,CAN,1952,159.408754
Canada,CAN,1953,160.608169
Canada,CAN,1954,162.967666
Canada,CAN,1955,169.473176
Canada,CAN,1956,189.802424
Canada,CAN,1957,182.811432
Canada,CAN,1958,182.15519
Canada,CAN,1959,184.481354
Canada,CAN,1960,192.716175
Canada,CAN,1961,194.000694
Canada,CAN,1962,206.990771
Canada,CAN,1963,210.910776
Canada,CAN,1964,237.577733
Canada,CAN,1965,251.916995
Canada,CAN,1966,259.074371
Canada,CAN,1967,281.637036
Canada,CAN,1968,303.26134
Canada,CAN,1969,307.119205
Canada,CAN,1970,341.177214
Canada,CAN,1971,352.285082
Canada,CAN,1972,380.786578
Canada,CAN,1973,381.264653
